datetime;upper_band;middle_band;lower_band
2025-11-17 09:00:00;1.16504;1.16268;1.16033
2025-11-15 08:00:00;1.16513;1.16275;1.16036
2025-11-15 07:00:00;1.16517;1.16284;1.16051
2025-11-15 06:00:00;1.16522;1.16290;1.16059
2025-11-15 05:00:00;1.16522;1.16296;1.16070
2025-11-15 04:00:00;1.16526;1.16306;1.16087
2025-11-15 03:00:00;1.16523;1.16316;1.16109
2025-11-15 02:00:00;1.16519;1.16324;1.16129
2025-11-15 01:00:00;1.16509;1.16336;1.16162
2025-11-15 00:00:00;1.16512;1.16343;1.16175
2025-11-14 23:00:00;1.16533;1.16350;1.16167
2025-11-14 22:00:00;1.16524;1.16348;1.16171
2025-11-14 21:00:00;1.16519;1.16357;1.16195
2025-11-14 20:00:00;1.16499;1.16364;1.16229
2025-11-14 19:00:00;1.16503;1.16363;1.16223
2025-11-14 18:00:00;1.16509;1.16359;1.16209
2025-11-14 17:00:00;1.16541;1.16346;1.16151
2025-11-14 16:00:00;1.16546;1.16336;1.16125
2025-11-14 15:00:00;1.16533;1.16320;1.16107
2025-11-14 14:00:00;1.16522;1.16314;1.16105
2025-11-14 13:00:00;1.16524;1.16300;1.16076
2025-11-14 12:00:00;1.16568;1.16275;1.15981
2025-11-14 11:00:00;1.16601;1.16249;1.15898
2025-11-14 10:00:00;1.16608;1.16228;1.15847
2025-11-14 09:00:00;1.16612;1.16208;1.15803
2025-11-14 08:00:00;1.16603;1.16184;1.15765
2025-11-14 07:00:00;1.16593;1.16162;1.15731
2025-11-14 06:00:00;1.16585;1.16136;1.15686
2025-11-14 05:00:00;1.16561;1.16114;1.15667
2025-11-14 04:00:00;1.16527;1.16090;1.15652
2025-11-14 03:00:00;1.16458;1.16061;1.15664
2025-11-14 02:00:00;1.16383;1.16031;1.15680
2025-11-14 01:00:00;1.16323;1.16005;1.15688
2025-11-14 00:00:00;1.16281;1.15986;1.15691
2025-11-13 23:00:00;1.16251;1.15972;1.15694
2025-11-13 22:00:00;1.16209;1.15956;1.15703
2025-11-13 21:00:00;1.16197;1.15950;1.15702
2025-11-13 20:00:00;1.16171;1.15929;1.15688
2025-11-13 19:00:00;1.16139;1.15907;1.15675
2025-11-13 18:00:00;1.16043;1.15881;1.15718
2025-11-13 17:00:00;1.15994;1.15864;1.15734
2025-11-13 16:00:00;1.16004;1.15856;1.15709
2025-11-13 15:00:00;1.16013;1.15850;1.15688
2025-11-13 14:00:00;1.16008;1.15845;1.15682
2025-11-13 13:00:00;1.16002;1.15841;1.15680
2025-11-13 12:00:00;1.15996;1.15837;1.15678
2025-11-13 11:00:00;1.15991;1.15831;1.15672
2025-11-13 10:00:00;1.15993;1.15827;1.15661
2025-11-13 09:00:00;1.15981;1.15820;1.15659
2025-11-13 08:00:00;1.15972;1.15814;1.15657
2025-11-13 07:00:00;1.15955;1.15805;1.15656
2025-11-13 06:00:00;1.15943;1.15800;1.15657
2025-11-13 05:00:00;1.15944;1.15801;1.15657
2025-11-13 04:00:00;1.15940;1.15799;1.15659
2025-11-13 03:00:00;1.15923;1.15794;1.15665
2025-11-13 02:00:00;1.15909;1.15790;1.15672
2025-11-13 01:00:00;1.15884;1.15785;1.15686
2025-11-13 00:00:00;1.15909;1.15794;1.15678
2025-11-12 23:00:00;1.15935;1.15806;1.15676
2025-11-12 22:00:00;1.15953;1.15814;1.15675
2025-11-12 21:00:00;1.15973;1.15823;1.15673
2025-11-12 20:00:00;1.15997;1.15838;1.15679
2025-11-12 19:00:00;1.16015;1.15853;1.15691
2025-11-12 18:00:00;1.16022;1.15849;1.15676
2025-11-12 17:00:00;1.16026;1.15844;1.15661
2025-11-12 16:00:00;1.16027;1.15839;1.15651
2025-11-12 15:00:00;1.16035;1.15834;1.15632
2025-11-12 14:00:00;1.16057;1.15825;1.15593
2025-11-12 13:00:00;1.16068;1.15816;1.15564
2025-11-12 12:00:00;1.16085;1.15802;1.15520
2025-11-12 11:00:00;1.16089;1.15796;1.15502
2025-11-12 10:00:00;1.16093;1.15785;1.15476
2025-11-12 09:00:00;1.16089;1.15769;1.15450
2025-11-12 08:00:00;1.16086;1.15753;1.15420
2025-11-12 07:00:00;1.16082;1.15739;1.15396
2025-11-12 06:00:00;1.16076;1.15723;1.15371
2025-11-12 05:00:00;1.16064;1.15710;1.15356
2025-11-12 04:00:00;1.16036;1.15693;1.15350
2025-11-12 03:00:00;1.15998;1.15674;1.15349
2025-11-12 02:00:00;1.15961;1.15659;1.15357
2025-11-12 01:00:00;1.15914;1.15642;1.15371
2025-11-12 00:00:00;1.15837;1.15621;1.15405
2025-11-11 23:00:00;1.15723;1.15601;1.15479
2025-11-11 22:00:00;1.15717;1.15589;1.15460
2025-11-11 21:00:00;1.15702;1.15575;1.15449
2025-11-11 20:00:00;1.15680;1.15571;1.15462
2025-11-11 19:00:00;1.15685;1.15572;1.15459
2025-11-11 18:00:00;1.15702;1.15579;1.15456
2025-11-11 17:00:00;1.15706;1.15581;1.15455
2025-11-11 16:00:00;1.15711;1.15586;1.15462
2025-11-11 15:00:00;1.15720;1.15590;1.15459
2025-11-11 14:00:00;1.15739;1.15597;1.15454
2025-11-11 13:00:00;1.15749;1.15602;1.15456
2025-11-11 12:00:00;1.15748;1.15603;1.15458
2025-11-11 11:00:00;1.15750;1.15607;1.15464
2025-11-11 10:00:00;1.15749;1.15611;1.15474
2025-11-11 09:00:00;1.15749;1.15610;1.15471
2025-11-11 08:00:00;1.15749;1.15610;1.15470
2025-11-11 07:00:00;1.15749;1.15610;1.15471
2025-11-11 06:00:00;1.15747;1.15605;1.15464
2025-11-11 05:00:00;1.15755;1.15597;1.15438
2025-11-11 04:00:00;1.15756;1.15597;1.15438
2025-11-11 03:00:00;1.15761;1.15600;1.15439
2025-11-11 02:00:00;1.15756;1.15609;1.15462
2025-11-11 01:00:00;1.15746;1.15616;1.15486
2025-11-11 00:00:00;1.15750;1.15618;1.15485
2025-11-10 23:00:00;1.15778;1.15624;1.15470
2025-11-10 22:00:00;1.15795;1.15629;1.15462
2025-11-10 21:00:00;1.15804;1.15633;1.15461
2025-11-10 20:00:00;1.15815;1.15638;1.15461
2025-11-10 19:00:00;1.15814;1.15638;1.15461
2025-11-10 18:00:00;1.15805;1.15629;1.15454
2025-11-10 17:00:00;1.15799;1.15625;1.15450
2025-11-10 16:00:00;1.15802;1.15623;1.15444
2025-11-10 15:00:00;1.15817;1.15611;1.15405
2025-11-10 14:00:00;1.15833;1.15598;1.15363
2025-11-10 13:00:00;1.15850;1.15587;1.15323
2025-11-10 12:00:00;1.15863;1.15574;1.15285
2025-11-10 11:00:00;1.15867;1.15562;1.15256
2025-11-10 10:00:00;1.15870;1.15553;1.15235
2025-11-10 09:00:00;1.15872;1.15550;1.15227
2025-11-08 08:00:00;1.15869;1.15540;1.15212
2025-11-08 07:00:00;1.15857;1.15527;1.15196
2025-11-08 06:00:00;1.15845;1.15514;1.15184
2025-11-08 05:00:00;1.15838;1.15509;1.15180
2025-11-08 04:00:00;1.15817;1.15497;1.15177
2025-11-08 03:00:00;1.15767;1.15480;1.15193
2025-11-08 02:00:00;1.15716;1.15465;1.15214
2025-11-08 01:00:00;1.15673;1.15451;1.15229
2025-11-08 00:00:00;1.15619;1.15438;1.15256
2025-11-07 23:00:00;1.15569;1.15424;1.15279
2025-11-07 22:00:00;1.15547;1.15415;1.15283
2025-11-07 21:00:00;1.15513;1.15405;1.15298
2025-11-07 20:00:00;1.15517;1.15391;1.15264
2025-11-07 19:00:00;1.15517;1.15389;1.15262
2025-11-07 18:00:00;1.15519;1.15387;1.15254
2025-11-07 17:00:00;1.15534;1.15381;1.15227
2025-11-07 16:00:00;1.15562;1.15370;1.15179
2025-11-07 15:00:00;1.15577;1.15360;1.15144
2025-11-07 14:00:00;1.15578;1.15353;1.15128
2025-11-07 13:00:00;1.15592;1.15338;1.15084
2025-11-07 12:00:00;1.15599;1.15321;1.15043
2025-11-07 11:00:00;1.15599;1.15307;1.15016
2025-11-07 10:00:00;1.15597;1.15291;1.14985
2025-11-07 09:00:00;1.15578;1.15270;1.14963
2025-11-07 08:00:00;1.15561;1.15251;1.14940
2025-11-07 07:00:00;1.15534;1.15231;1.14928
2025-11-07 06:00:00;1.15504;1.15208;1.14911
2025-11-07 05:00:00;1.15477;1.15183;1.14889
2025-11-07 04:00:00;1.15439;1.15156;1.14872
2025-11-07 03:00:00;1.15411;1.15132;1.14853
2025-11-07 02:00:00;1.15382;1.15107;1.14832
2025-11-07 01:00:00;1.15343;1.15080;1.14818
