<TICKER>,<PER>,date,time,open,high,low,close,volume,<OPENINT>
WIG20,60,20240411,100000,2491,2507.54,2491,2494.22,7364685,0
WIG20,60,20240411,110000,2493.9,2495.85,2485.53,2486.89,2936813,0
WIG20,60,20240411,120000,2486.38,2487.93,2480.55,2483.09,3208805,0
WIG20,60,20240411,130000,2482.89,2486.12,2479.97,2481.88,2799634,0
WIG20,60,20240411,140000,2482.36,2483.57,2474.66,2479.49,1744257,0
WIG20,60,20240411,150000,2478.6,2494.39,2475.73,2488.15,2451322,0
WIG20,60,20240411,160000,2488.17,2491.97,2481.26,2483.08,2946301,0
WIG20,60,20240411,170000,2482.72,2482.72,2468.31,2468.31,6124760,0
WIG20,60,20240412,100000,2491.92,2501.93,2485.32,2486.03,2244908,0
WIG20,60,20240412,110000,2486.08,2492,2478.52,2482.26,1382471,0
WIG20,60,20240412,120000,2482.63,2489.37,2480.08,2488.14,1627026,0
WIG20,60,20240412,130000,2488.28,2488.48,2474.67,2476.12,1621773,0
WIG20,60,20240412,140000,2476.17,2483.02,2473.28,2479.76,1463415,0
WIG20,60,20240412,150000,2479.9,2480.24,2460.2,2461.55,2035778,0
WIG20,60,20240412,160000,2461.51,2469.55,2457.37,2464.98,2354631,0
WIG20,60,20240412,170000,2465.33,2465.33,2444.82,2446.16,7088595,0
WIG20,60,20240415,100000,2465.66,2471.06,2450.11,2454.6,2995427,0
WIG20,60,20240415,110000,2453.93,2463.78,2453.93,2458.56,1702454,0
WIG20,60,20240415,120000,2458.45,2461.32,2449.55,2451.24,1587440,0
WIG20,60,20240415,130000,2451.41,2460.39,2451.41,2459.06,1123936,0
WIG20,60,20240415,140000,2459.39,2466.56,2458.94,2461.52,1188048,0
WIG20,60,20240415,150000,2461.88,2473.76,2459.65,2468.82,2002235,0
WIG20,60,20240415,160000,2469.03,2475.35,2466.61,2467.51,2781724,0
WIG20,60,20240415,170000,2467.25,2467.3,2447.33,2453.31,6280339,0
WIG20,60,20240416,100000,2428,2428,2409.25,2420.34,4150888,0
WIG20,60,20240416,110000,2421.31,2421.88,2411.72,2417.75,2228227,0
WIG20,60,20240416,120000,2417.38,2425.06,2416.96,2418.19,2192879,0
WIG20,60,20240416,130000,2418.55,2427.94,2418.55,2422.59,1930256,0
WIG20,60,20240416,140000,2422.95,2429.4,2422.95,2428.33,1713852,0
WIG20,60,20240416,150000,2428.68,2428.84,2415.12,2415.49,2736996,0
WIG20,60,20240416,160000,2414.76,2415.03,2384.5,2389.99,5069130,0
WIG20,60,20240416,170000,2389.36,2393.35,2383.85,2392.5,7687830,0
WIG20,60,20240417,100000,2400.66,2413.65,2398.15,2412.92,6245872,0
WIG20,60,20240417,110000,2413.17,2435.02,2411.27,2435.02,5653231,0
WIG20,60,20240417,120000,2434.97,2435.97,2424.68,2430.1,3138558,0
WIG20,60,20240417,130000,2430.14,2442.14,2430.01,2437.27,2721479,0
WIG20,60,20240417,140000,2437.43,2443.58,2430.28,2432.66,2671901,0
WIG20,60,20240417,150000,2432.15,2439.52,2428.8,2436.52,2630235,0
WIG20,60,20240417,160000,2436.39,2445.88,2434.53,2439.51,3495930,0
WIG20,60,20240417,170000,2439.57,2440.26,2432.05,2432.32,7551615,0
WIG20,60,20240418,100000,2453.09,2457.71,2440.59,2444.95,2970252,0
WIG20,60,20240418,110000,2445.03,2446.08,2420.78,2424.62,3161417,0
WIG20,60,20240418,120000,2424.48,2430.38,2417.94,2430.13,3000972,0
WIG20,60,20240418,130000,2430.16,2445.67,2426.24,2444.94,2550761,0
WIG20,60,20240418,140000,2444.87,2447.29,2441.59,2444.13,1963636,0
WIG20,60,20240418,150000,2444.02,2446.59,2434.64,2437.33,2534793,0
WIG20,60,20240418,160000,2437.22,2457.24,2432.26,2457.05,3202765,0
WIG20,60,20240418,170000,2456.73,2461.53,2452.22,2460.99,7391140,0
WIG20,60,20240419,100000,2440.69,2452.65,2438.62,2444.9,2136103,0
WIG20,60,20240419,110000,2444.86,2448.95,2438.65,2439.66,2166560,0
WIG20,60,20240419,120000,2439.86,2450.22,2436.48,2449.11,1678956,0
WIG20,60,20240419,130000,2448.24,2448.27,2440.27,2443.08,2564405,0
WIG20,60,20240419,140000,2443.1,2449.63,2440.65,2449.46,1500145,0
WIG20,60,20240419,150000,2449.5,2466.15,2446.26,2466.13,5488786,0
WIG20,60,20240419,160000,2466.18,2467.07,2456.33,2463.75,3343076,0
WIG20,60,20240419,170000,2464.13,2465.46,2453.96,2464.04,8442631,0
WIG20,60,20240422,100000,2479.25,2487.87,2474.14,2478.65,3142235,0
WIG20,60,20240422,110000,2478.46,2488.97,2473.72,2486.74,3474674,0
WIG20,60,20240422,120000,2490.7,2501.24,2489.8,2496.26,2187798,0
WIG20,60,20240422,130000,2496.21,2501.04,2494.75,2498.62,1520046,0
WIG20,60,20240422,140000,2498.56,2501,2491.78,2495.2,1372458,0
WIG20,60,20240422,150000,2495.17,2501.12,2490.49,2498.84,2384518,0
WIG20,60,20240422,160000,2498.85,2504.9,2496.41,2498.75,2590691,0
WIG20,60,20240422,170000,2498.43,2511.82,2497.1,2508.34,9389525,0
WIG20,60,20240423,100000,2495.09,2505.65,2487.12,2488.43,2220780,0
WIG20,60,20240423,110000,2488.08,2488.43,2478.12,2479.31,1774827,0
WIG20,60,20240423,120000,2478.96,2495,2478.04,2488.84,2359865,0
WIG20,60,20240423,130000,2488.85,2492.9,2486.45,2488.12,1218941,0
WIG20,60,20240423,140000,2488.02,2518.21,2488.02,2515.61,2465445,0
WIG20,60,20240423,150000,2515.43,2515.95,2497.98,2500.57,1924090,0
WIG20,60,20240423,160000,2500.68,2508.33,2496.36,2507.51,2462857,0
WIG20,60,20240423,170000,2507.62,2511.79,2484.81,2492.3,6685643,0
